Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"GROUPE ELITE RESTAURATION","331108753","","56.29B","Accommodation and food service activities","Accommodation and Food Services","15 RUE VALENTIN PRIVE 89300 JOIGNY","89300","89","27","12","85","2025",21385584
"SOCIETE COMMERCIALE LE PRE BERCY","322185844","","47.52B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ZONE INDUSTRIELLE RUE DE L'ETANG 89200 AVALLON","89200","89","27","NN","42","2024",46758370
"EXPERTISE ET TECHNIQUE COMPTABLES (ETC)","017151200","","69.20Z","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","PLACE DE L’EUROPE 89000 SAINT-GEORGES-SUR-BAULCHE","89000","89","27","12","59","2016",21535581
"SOLOMAT LOCATION","318167137","","43.99E","Construction","Construction","ZA NORD 2 RUE DES DRUBES 89510 ETIGNY","89510","89","27","21","43","2024",50618447
"B.D.M.S. DISTRIBUTION","421255134","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ZONE INDUSTRIELLE RUE DE L'ETANG 89200 AVALLON","89200","89","27","01","15","2024",262222565
"PRYSMIAN CABLES ET SYSTEMES FRANCE","095750311","","27.32Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","23 BOULEVARD ARISTIDE BRIAND 89100 SENS","89100","89","27","21","55","2024",845849314
"BERNER","506950211","","46.69B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","ZI LD LES MANTEAUX 89330 SAINT-JULIEN-DU-SAULT","89330","89","27","42","12","2023",276318243
"DUC","722621166","","10.12Z","Manufacturing","Manufacturing: Food, Beverages and Tobacco","GRANDE RUE 89770 CHAILLEY","89770","89","27","32","17","2016",165378000
"AMBULANCE DU SEREIN","531025419","","86.90A","Human health and social work activities","Human Health and Social Work","6 RUE COLONEL ROZANOFF 89000 AUXERRE","89000","89","27","22","14","2024",36641631
"EURIAL ULTRA FRAIS","705580108","","10.51A","Manufacturing","Manufacturing: Food, Beverages and Tobacco","30 RUE DES JACQUINS 89150 JOUY","89150","89","27","32","16","2024",676342320
"DISMI","451096101","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","22 RUE OLYMPE DE GOUGES 89400 MIGENNES","89400","89","27","22","8","2024",38523289
"AUXERRE DISTRIBUTION (AUXERDIS)","323875567","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","14 AVENUE JEAN JAURES 89000 AUXERRE","89000","89","27","32","6","2024",96367618
"SCHIEVER DISTRIBUTION","342786837","","46.39B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","ZI RUE DE L'ETANG 89200 AVALLON","89200","89","27","32","11","2024",662373319
"DENIDIS","331260927","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","LE PRE AUBERT RUE DE PARIS 89100 SAINT-DENIS-LES-SENS","89100","89","27","32","4","2024",135610661
"HMY FRANCE","316016930","","31.01Z","Manufacturing","Manufacturing: Furniture and Other","ZONE INDUSTRIELLE 50 ROUTE D'AUXERRE 89470 MONETEAU","89470","89","27","41","8","2017",190364809
"SAINT GOBAIN PERFORMANCE PLASTICS FRANCE","562032292","","22.21Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","34 RUE DU MOULIN DES AULNAIES 89120 CHARNY OREE DE PUISAYE","89120","89","27","22","9","2024",92466538
"MANNESMANN PRECISION TUBES FRANCE","426420162","","24.20Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","Z.I SUD LA SAUNIERE 89600 CHEU","89600","89","27","22","9","2025",108882000
"DRAKA COMTEQ FRANCE","393525993","","27.31Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","23 AVENUE ARISTIDE BRIAND 89100 PARON","89100","89","27","NN","52","2024",166156010
"AERIAN FRANCE (GMT - COLLOT TECHNOLOGIES - KES -)","319948576","","25.62B","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","LES PELLETIERS 89100 SOUCY","89100","89","27","22","7","2025",30929084
"KRONOSPAN SAS","799378781","","16.21Z","Manufacturing","Manufacturing: Wood, Paper and Printing","RN77 BOIS DE LA DUCHESSE ROUTE NATIONALE NO77 89000 AUXERRE","89000","89","27","22","3","2024",84450880
"A.J.A FOOTBALL","434386470","","93.12Z","Arts, entertainment and recreation","Arts, Entertainment and Recreation","STADE ABBE DESCHAMPS ROUTE DE VAUX 89000 AUXERRE","89000","89","27","31","2","2024",34942492
"FRUEHAUF","693650194","","29.20Z","Manufacturing","Manufacturing: Transport Equipment","24 AVENUE JEAN MERMOZ 89000 AUXERRE","89000","89","27","32","5","2024",112562368
"LEBHAR","705480200","","17.21B","Manufacturing","Manufacturing: Wood, Paper and Printing","ZI. LE PORT AU VIN RUE DES SALCYS 89100 GRON","89100","89","27","22","3","2024",34548568
"EURIAL LOGISTIQUE EST","501718928","","52.10A","Transportation and storage","Transportation and Storage","ZAC DE L'AIRE DE VILLEROY 89150 FOUCHERES","89150","89","27","31","1","2024",24660039
"PNEU LAURENT","425920212","","22.11Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","ROUTE DE SAUVIGNY 89200 AVALLON","89200","89","27","32","22","2024",76911519
"ANCIENS ETS G.SCHIEVER ET FILS","425920352","","70.10Z","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","Z.I. 12 RUE DE L'ETANG 89200 AVALLON","89200","89","27","31","5","2024",1329415086
"CONIMAST INTERNATIONAL (FRANCE GALVA)","342761095","","25.11Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","ZONE INDUSTRIELLE LA SAUNIERE 89600 SAINT-FLORENTIN","89600","89","27","31","1","2024",42134000
"LA FOURNEE DOREE BOURGOGNE (L.F.D.B.)","344572417","","10.71A","Manufacturing","Manufacturing: Food, Beverages and Tobacco","RN 6 PARC D'ACTIVITE LA SABLONNIERE 89400 BASSOU","89400","89","27","31","8","2024",72982572
"ALUMINIUM FRANCE EXTRUSION SAINT FLORENTIN","352610646","","24.42Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","ROUTE DE TONNERRE 89600 GERMIGNY","89600","89","27","31","1","2023",94733208
"DAVEY BICKFORD (DB)","720501410","","20.51Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","LE MOULIN GASPARD 89550 HERY","89550","89","27","41","2","2024",128717284
"T.EN LOADING SYSTEMS","879022309","","25.11Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","RTE DES CLERIMOIS 89100 SENS","89100","89","27","32","1","2024",113013709
"PHARMAT","325213841","","77.29Z","Administrative and support service activities","Administrative and Support","36 RUE ALBERT PREMIER 90000 BELFORT","90000","90","27","NN","36","2024",45958375
"COMAFRANC","795158179","","46.73A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","20 RUE ALBERT CAMUS 90000 BELFORT","90000","90","27","12","29","2024",119390109
"LISI AUTOMOTIVE FORMER","322624701","","25.94Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","2 RUE DU DOUANIER DAUPHIN 90100 DELLE","90100","90","27","21","18","2023",249135657
"BELFORT DISTRIBUTION (BELDIS)","324106764","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","1 AVENUE DU GENERAL DE GAULLE 90000 BELFORT","90000","90","27","32","5","2024",85189302
"GE ENERGY PRODUCTS FRANCE SNC","349942458","","28.11Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","BP 379 20 AVENUE DU MARECHAL JUIN 90000 BELFORT","90000","90","27","41","7","2024",821046164
"CONFRATERNELLE D'EXPLOITATION ET DE REPARTITION PHARMACEUTIQUE RHIN RHONE MEDITERRANEE (CERP RHIN RHONE MEDI)","535420533","","46.46Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","36 RUE ALBERT PREMIER 90000 BELFORT","90000","90","27","22","32","2024",2870418491
"VOESTALPINE AUTOMOTIVE COMPONENTS FONTAINE","535520316","","25.50B","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","Z A DE L AEROPARC DE FONTA ZA AEROPARC 90150 FONTAINE","90150","90","27","32","6","2024",59590950
