Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"ERAS (ERAS)","381307636","","71.12B","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","URBAN GARDEN 6 RUE ALEXANDER FLEMING 69007 LYON","69007","69","84","22","46","2024",41413649
"ANAVEO","424925790","","80.20Z","Administrative and support service activities","Administrative and Support","10 RUE DES ROSIERISTES 69410 CHAMPAGNE-AU-MONT-D'OR","69410","69","84","22","40","2024",69320722
"TRANSPORTS RAPIDES J BESSON ET CIE","775649965","","52.29A","Transportation and storage","Transportation and Storage","2 RUE PIERRE MENDES FRANCE 69120 VAULX-EN-VELIN","69120","69","84","21","25","2024",42119341
"PAREDES DISTRIBUTION FRANCE","407995505","","46.69C","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","Z.I. DE REVOISSON 1 RUE GEORGES BESSE 69740 GENAS","69740","69","84","22","13","2022",134141160
"SUEZ RR IWS CHEMICALS FRANCE","444548440","","38.22Z","Water supply; sewerage, waste management and remediation activities","Water, Waste and Remediation","2 RTE DE LA CENTRALE 69700 GIVORS","69700","69","84","NN","17","2024",117396749
"SULLY GROUP","399091339","","62.02A","Information and communication","Information Technology and Services","PARC TECHNOLOGIQUE WOODSTOCK/DOUGLAS 5 97 ALLEE ALEXANDRE BORODINE 69800 SAINT-PRIEST","69800","69","84","31","31","2024",77713415
"OMNITRANS","401502950","","49.41A","Transportation and storage","Transportation and Storage","ZONE INDUSTRIELLE CHATEAU DE L'ILE 6 RUE LOUISE MICHEL 69320 FEYZIN","69320","69","84","22","18","2024",65863735
"INEO NUCLEAIRE","409899077","","43.21A","Construction","Construction","6 RUE ALEXANDER FLEMING 69007 LYON","69007","69","84","12","27","2025",231690025
"CIE EUROPEENNE DE SERVICE CIAL (CESC)","479739260","","43.22B","Construction","Construction","13 BOULEVARD MONGE 69330 MEYZIEU","69330","69","84","31","12","2024",26600365
"MANITOWOC CRANE GROUP FRANCE OU         MCG FRANCE","632045837","","28.22Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","66 CHEMIN DU MOULIN CARRON 69570 DARDILLY","69570","69","84","31","39","2024",492238040
"BAYER SAS","562038893","","20.20Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","74 RUE GORGE DE LOUP 69009 LYON","69009","69","84","NN","61","2024",1230786083
"DECITRE","956513147","","47.91B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","CITE BERLIET 15 B AV C 69800 SAINT-PRIEST","69800","69","84","NN","37","2024",54753942
"BAYER SEEDS SAS","420019812","","72.19Z","Professional, scientific and technical activities","Professional: Research and Development","74 RUE GORGE DE LOUP 69009 LYON","69009","69","84","NN","32","2025",293228919
"BOUYGUES BATIMENT SUD-EST","731620316","","41.20B","Construction","Construction","18 RUE GENERAL MOUTON-DUVERNET 69003 LYON","69003","69","84","32","37","2024",406458845
"SOCIETE DE TRAVAUX ELECTRIQUES DU BUGEY (SOTEB)","546720079","","43.21A","Construction","Construction","AIRPARC, LYON SAINT EXUPERY AEROPORT 160 RUE DE NORVEGE 69124 COLOMBIER-SAUGNIEU","69124","69","84","01","24","2024",77480773
"OPMOBILITY EXTERIOR FRANCE","451399729","","29.32Z","Manufacturing","Manufacturing: Transport Equipment","19 BOULEVARD JULES CARTERET 69007 LYON","69007","69","84","NN","10","2024",446893642
"SPIE BATIGNOLLES SUD EST","343337275","","43.99C","Construction","Construction","68 CHEMIN DU MOULIN CARRON 69570 DARDILLY","69570","69","84","22","46","2024",145281645
"ALTECA (ALTECA)","404208035","","62.01Z","Information and communication","Information Technology and Services","45 RUE ANATOLE FRANCE 69100 VILLEURBANNE","69100","69","84","NN","35","2024",60249104
"RENAULT TRUCKS MARSEILLE","302472501","","45.19Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","TER A50 2 72 99 ROUTE DE LYON 69800 SAINT-PRIEST","69800","69","84","NN","14","2024",75394000
