Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"ENVAL DISTRIBUTION (ENVALDIS)","332201821","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ESPACE MOZAC ROUTE DE VOLVIC 63530 ENVAL","63530","63","84","32","2","2025",141657207
"CRL (COURRIERS RHODANIENS LYON)","334214350","","49.39B","Transportation and storage","Transportation and Storage","23 RUE DE L'AVENIR 69740 GENAS","69740","69","84","NN","9","2024",28314540
"MERITOR INDUSTRIAL PRODUCTS SAINT-ETIENNE","335339446","","29.32Z","Manufacturing","Manufacturing: Transport Equipment","4 RUE JEAN SERVANTON 42000 SAINT-ETIENNE","42000","42","84","31","4","2024",108086033
"HOPITAL PRIVE DROME-ARDECHE","336720107","","86.10Z","Human health and social work activities","Human Health and Social Work","294 BOULEVARD CHARLES DE GAULLE 07500 GUILHERAND-GRANGES","07500","07","84","32","2","2024",48071478
"TEFAL","301520920","","25.99A","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","ZAE RUMILLY EST 15 AVENUE DES ALPES 74150 RUMILLY","74150","74","84","42","3","2024",389866625
"SFS GROUP SAS","301921201","","25.94Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","39 RUE GEORGES MELIES 26000 VALENCE","26000","26","84","31","2","2021",76592919
"SODIMAS","303265045","","28.22Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","11 RUE AMPERE 26600 PONT-DE-L'ISERE","26600","26","84","32","4","2021",85390000
"SALOMON SAS (SALOMON)","325820751","","32.30Z","Manufacturing","Manufacturing: Furniture and Other","ZA DES CROISELETS 14 CHE DES CROISELETS 74330 EPAGNY METZ-TESSY","74330","74","84","41","16","2024",300336000
"CHARLES RIVER LABORATORIES FRANCE SAFETY ASSESSMENT (IFT)","323840645","","72.19Z","Professional, scientific and technical activities","Professional: Research and Development","LES ONCINS 329 IMPASSE DU DOMAINE ROZIER 69210 SAINT-GERMAIN-NUELLES","69210","69","84","41","2","2024",99419822
"ATELIER FOREZIEN DU FRAIS","316535046","","10.11Z","Manufacturing","Manufacturing: Food, Beverages and Tobacco","POLE DE LA VIANDE 55 ALLEE DE LA HALLE 42350 LA TALAUDIERE","42350","42","84","31","4","2024",212237815
"SOCIETE INTERCOMMUNALE DES BUS DE LA REGION ANNECIENNE (SIBRA)","318163094","","49.31Z","Transportation and storage","Transportation and Storage","66 CHE DE LA PRAIRIE 74000 ANNECY","74000","74","84","32","2","2024",41487611
